Ratio,PacketSize,Up(Mbps),Down(Mbps),TotalTime(s)
1,1000,0.0947867,0.0142743,0.644849
1,5000,0.0976372,0.0159227,2.92181
1,10000,0.0981643,0.0161819,5.75877
0.5,1000,0.0947867,0.0124825,0.404849
0.5,5000,0.0976372,0.0154918,1.70069
0.5,10000,0.0981643,0.0159227,3.32709
0.2,1000,0.0947867,0.00906778,0.260849
0.2,5000,0.0976372,0.0142743,0.970129
0.2,10000,0.0981643,0.0152235,1.86597
