Ratio,PacketSize,Up(Mbps),Down(Mbps),TotalTime(s)
1,1000,0.0947829,0.0159136,0.587119
1,5000,0.0976364,0.0162973,2.86408
1,10000,0.0981639,0.0163731,5.70104
0.5,1000,0.0947829,0.0152256,0.347119
0.5,5000,0.0976364,0.016217,1.64296
0.5,10000,0.0981639,0.0162973,3.26936
0.2,1000,0.0947829,0.0134776,0.203119
0.2,5000,0.0976364,0.0159136,0.912399
0.2,10000,0.0981639,0.0161083,1.80824
