Ratio,PacketSize,Up(Mbps),Down(Mbps),TotalTime(s)
1,1000,0.0947867,0.0142669,0.645138
1,5000,0.0976372,0.0159209,2.9221
1,10000,0.0981643,0.0161809,5.75906
0.5,1000,0.0947867,0.0124712,0.405138
0.5,5000,0.0976372,0.0154883,1.70098
0.5,10000,0.0981643,0.0159209,3.32738
0.2,1000,0.0947867,0.00905296,0.261138
0.2,5000,0.0976372,0.0142669,0.970418
0.2,10000,0.0981643,0.0152193,1.86626
