Ratio,PacketSize,Up(Mbps),Down(Mbps),TotalTime(s)
1,1000,0.0945963,0.0136894,0.668962
1,5000,0.0975967,0.0139794,3.2712
1,10000,0.0981439,0.0140392,6.51344
0.5,1000,0.0945963,0.013141,0.388962
0.5,5000,0.0975967,0.0139207,1.84656
0.5,10000,0.0981439,0.0139794,3.67648
0.2,1000,0.0945963,0.0117309,0.220962
0.2,5000,0.0975967,0.0136894,0.994242
0.2,10000,0.0981439,0.0138323,1.97184
