Ratio,PacketSize,Up(Mbps),Down(Mbps),TotalTime(s)
1,1000,0.0947867,0.0142699,0.645019
1,5000,0.0976372,0.0159217,2.92198
1,10000,0.0981643,0.0161813,5.75894
0.5,1000,0.0947867,0.0124759,0.405019
0.5,5000,0.0976372,0.0154897,1.70086
0.5,10000,0.0981643,0.0159217,3.32726
0.2,1000,0.0947867,0.00905906,0.261019
0.2,5000,0.0976372,0.0142699,0.970299
0.2,10000,0.0981643,0.015221,1.86614
