Ratio,PacketSize,Up(Mbps),Down(Mbps),TotalTime(s)
1,1000,0.0947829,0.0159127,0.587147
1,5000,0.0976364,0.0162971,2.86411
1,10000,0.0981639,0.016373,5.70107
0.5,1000,0.0947829,0.015224,0.347147
0.5,5000,0.0976364,0.0162166,1.64299
0.5,10000,0.0981639,0.0162971,3.26939
0.2,1000,0.0947829,0.0134744,0.203147
0.2,5000,0.0976364,0.0159127,0.912427
0.2,10000,0.0981639,0.0161079,1.80827
