Ratio,PacketSize,Up(Mbps),Down(Mbps),TotalTime(s)
1,1000,0.0945999,0.0142712,0.645138
1,5000,0.0975975,0.015922,2.9221
1,10000,0.0981443,0.0161815,5.75906
0.5,1000,0.0945999,0.0124777,0.405138
0.5,5000,0.0975975,0.0154903,1.70098
0.5,10000,0.0981443,0.015922,3.32738
0.2,1000,0.0945999,0.0090615,0.261138
0.2,5000,0.0975975,0.0142712,0.970418
0.2,10000,0.0981443,0.0152217,1.86626
