Ratio,PacketSize,Up(Mbps),Down(Mbps),TotalTime(s)
1,1000,0.0947867,0.0143174,0.64316
1,5000,0.0976372,0.0159335,2.92012
1,10000,0.0981643,0.0161874,5.75708
0.5,1000,0.0947867,0.0125486,0.40316
0.5,5000,0.0976372,0.0155121,1.699
0.5,10000,0.0981643,0.0159335,3.3254
0.2,1000,0.0947867,0.00915541,0.25916
0.2,5000,0.0976372,0.0143174,0.96844
0.2,10000,0.0981643,0.015248,1.86428
