Ratio,PacketSize,Up(Mbps),Down(Mbps),TotalTime(s)
1,1000,0.0945963,0.0237412,0.421536
1,5000,0.0975967,0.0244187,2.04794
1,10000,0.0981439,0.0245459,4.07434
0.5,1000,0.0945963,0.0226032,0.261536
0.5,5000,0.0975967,0.0242717,1.23386
0.5,10000,0.0981439,0.0244187,2.45322
0.2,1000,0.0945963,0.0197613,0.165536
0.2,5000,0.0975967,0.0237412,0.746816
0.2,10000,0.0981439,0.0240962,1.47914
