Ratio,PacketSize,Up(Mbps),Down(Mbps),TotalTime(s)
1,1000,0.0947829,0.0237285,0.42155
1,5000,0.0976364,0.024416,2.04795
1,10000,0.0981639,0.0245445,4.07435
0.5,1000,0.0947829,0.0225801,0.26155
0.5,5000,0.0976364,0.0242663,1.23387
0.5,10000,0.0981639,0.024416,2.45323
0.2,1000,0.0947829,0.0197173,0.16555
0.2,5000,0.0976364,0.0237285,0.74683
0.2,10000,0.0981639,0.0240896,1.47915
