Ratio,PacketSize,Up(Mbps),Down(Mbps),TotalTime(s)
1,1000,0.0947829,0.0160356,0.583293
1,5000,0.0976364,0.0163227,2.86025
1,10000,0.0981639,0.0163859,5.69721
0.5,1000,0.0947829,0.0154506,0.343293
0.5,5000,0.0976364,0.0162674,1.63913
0.5,10000,0.0981639,0.0163227,3.26553
0.2,1000,0.0947829,0.0139264,0.199293
0.2,5000,0.0976364,0.0160356,0.908573
0.2,10000,0.0981639,0.0161706,1.80441
