Ratio,PacketSize,Up(Mbps),Down(Mbps),TotalTime(s)
1,1000,0.0936764,0.0136936,0.669614
1,5000,0.0973994,0.0139803,3.27185
1,10000,0.098044,0.0140397,6.51409
0.5,1000,0.0936764,0.0131486,0.389614
0.5,5000,0.0973994,0.0139224,1.84721
0.5,10000,0.098044,0.0139803,3.67713
0.2,1000,0.0936764,0.0117462,0.221614
0.2,5000,0.0973994,0.0136936,0.994894
0.2,10000,0.098044,0.0138344,1.97249
